Title,Storyline
200% Wolf,"When Freddy Lupin's wayward wish transforms him into a werewolf and deposits a mischievous moon sprite on earth, Freddy must restore the cosmic order before the earth and moon collide."
23 Horas,N/A
7 Day Fast,"Embark on Nathan Pelle's transformative fasting journey, navigating challenges and revelations. Witness the physical and mental metamorphosis, revealing newfound resilience and a profound mind-body connection."
76 Days Adrift,"After a whale hits his boat, Steven Callahan survives 76 days alone on a life raft crossing the Atlantic. His bestselling story ""Adrift"" comes alive through vintage footage, photos, and recreations."
A Babá: Operação Game Over,N/A
A Christmas Carol,"A fun, family holiday classic featuring a modern day version of Scrooge and his heartfelt story in Seattle as a booming tech billionaire, trying to get through the holidays until he is visited by his former business partner and 3 ghosts."
A Legend,An archeologist noticed that the texture of the relics discovered during the excavation of a glacier closely resembled a jade pendant seen in one of his dreams. He and his team then embark on an expedition into the depths of the glacier.
A New Dawn,"In a post-apocalyptic 2029, a mysterious survivor is found near an Imam Bargah by desperate people, unaware he's meant to lead them. As a massive horde nears, he must guide them on a perilous journey to a fleeting refugee camp before doom."
A Sloth Story,"After a terrifying storm destroys their home, a speedy sloth named Laura and her kooky family move to the big city in their rusted old food truck hoping to make their business a success."
A Trip Elsewhere,"During the Covid-19 pandemic, four anxious strangers take a record-breaking dose of LSD, catapulting them into a shared psychedelic dream where they must find solace and redemption before they can return to the real world."
A.R.M,"Set in the Northern Kerala in 1900, 1950 and 1990, three generations of heroes, Maniyan, Kunjikelu and Ajayan, try to protect the most important treasure of the land."
ABC Life: The Movie,"The ABC Gang is back in their own big movie. But as Silent E and One are back to their evil schemes, the letters take upon a big adventure to stop Silent E and One equally so they meet their opposites, The Royal Letters. So the groups team up for a adventure full of fun, drama, and even music."
Abar Arownne Din Ratri,"It is a coming-of-age story of 3 women travel bloggers. My film is a travelogue. The film has the elements of a road journey, the visual of a deep forest, the silence of the hills, and various shades of the characters. Abar Awronne Din Ratri is a fresh take on the girls who want to explore, travel, and look at the world with a different outlook and how adventure, thrill, fun, music, and songs have rejuvenated their personal and work lives. Nandini (Paayel Sarkar), Ena (Rupsha Mukhopadhyay), and Mithi (Alivia Sarkar) travel down the jungle, into the forest and live up the adventure with hope and dreams of an ambitious future."
Abudeka Is Back,"Two ex-detectives return to Yokohama from New Zealand. While investigating a lawyer's murder and meeting Fei Long, they search for a client's missing mother amid a terrorist threat."
Abá e Sua Banda,"A kingdom of fruits. A king with no strength to keep ruling. An orphan prince who does not accept his fate. A world at imminent risk. These are some of the ingredients of Abah, an adventure movie full of humor, in which we can follow the young Pineapple prince's trajectory and his conflicts with his dreams and responsibilities. It is a story of acceptance and personal growth. A portrait of a brief moment of prince Abah's life: a transition from his unripe childhood to the new colors of maturity."
Across America,N/A
Adam i Eva,"Marina and Viktor are the only people left in a huge city, perhaps on the entire planet. After the heroes had somehow arranged their daily life, they were faced with a much more serious question - an existential one. How to revive humanity? Especially considering that they don't like each other."
Adrian,N/A
Advent,"Made up of three substantial yet uniquely identifiable Christmas tales, ADVENT sees numerous specific lives all caught up over the course of a magical December 24th."
Ahl Al Kahf,"The film deals with a fictional framework, the story of three people who wake up from their sleep after three centuries, and find themselves in a time other than the time in which they lived before, and they live in a struggle with time."
Al Leib Maa Al Eyal,"After being transferred to a school in a desert region, Allam, a history teacher, faces some unanticipated challenges."
Alex and Mia's Awesome Movie!!,"Alex is a student in middle school and has a crush on a girl in his school. He has been trying to impress her by being kind and helpful, but unfortunately, a bully in the school has been making his life miserable. The bully constantly teases and taunts Alex, making it difficult for him to focus on his studies and personal life. One day, Alex decides to confront the bully and stand up for himself. He is determined to prove that he is not someone to be messed with and that he won't tolerate being bullied anymore until a fight is settled."
Aliens Uncovered: Buried Cities & Lost Tribes,"Hidden in the Grand Canyon, in the areas that are off limits to modern civilization, is a group of ancestors that have become lost over time. With the help of a Hopi Elder, we uncovered this lost group and discover an ancient connection."
All for One,"Sara a young Morisco unmasks the three musketeers who protect the Queen of France, she decides to cling to these powerful women and their brilliant idea."
All the Way to the Eendless,"One man in his thirties, making a living in Shanghai. After breaking up with his girlfriend, the dual pressures of work and life make him unconsciously imagine a world where fantasy and reality coexist to survive the chaotic life."
Alpha.,"Rein, snowboard teacher, works in the Alps. Receives a visit from his father Gijs from the Netherlands. The two venture into the snow-capped mountains where they clash both with each other and with the merciless nature that surrounds them."
Altered,Mark and Sarah's camping trip to mend their relationship takes an unexpected turn when their van runs out of gas and Sarah makes a wish for Mark to change. It explores the consequences of trying to change someone and the uncertainty of their love's future.
Amazon Bullseye,A Korean archery coach embarks on a journey to train 3 Amazonian natives to win Olympic medals.
Amphibia: Endgame,N/A
Anaconda,"A re-interpretation of the iconic '90s creature feature, in which a group of circus athletes - having found themselves stranded in a rain forest - come face-to-face with the elements, a bloodthirsty poacher, and a formidable giant snake."
Analogistan,A group of students paralyzes the mobile internet and sets off an unexpected chain reaction
Angels Fallen: Warriors of Peace,"When an Iraq War veteran receives a calling from a higher power, he embarks on a mission to stop a fallen angel from raising an army of the dead to take over the world."
Antarctic Voyage,"""Antarctic Voyage"" is a documentary from award-winning filmmaker Kevin Schreck (""Persistence of Vision,"" ""Tangent Realms: The Worlds of C.M. Kösemen"") about a biological research expedition to the remote island of South Georgia to study the state of the region's local wildlife in a changing world."
Anytime,ANYTIME is a generational freeride mountain bike film from Red Bull Media House and Anthill Films that follows the ambitions of a small group of elite riders as they attempt to redefine the frontiers of the sport.
Anywhere Wherever,Eight childhood friends take a road trip to Acadia National Park in Maine.
Applepictures the Poseidon Legacy,"New Year's Eve, 1994. After an explosion from the deep, the ship capsizes with thousands aboard. A comedy of errors and a series of unfortunate events ensues as a group of 13 tries to escape from the ballroom - some of them are scared, some of them are brave, half of them just lunatics. Some could live, most will die. Who will survive?"
Appu,"Elephant calf Appu undertakes perilous journey across ocean and treacherous forest to save father from poachers' grip, aided by loyal dog Tiger and runaway child Neena, uncovering his extraordinary abilities."
Arctic Hollow,"An Alaskan bush pilot attempts a daring rescue of a stranded researcher deep inside an arctic cave system thought to be an entrance to the inner earth, only to find himself battling creatures not of this world."
Art Work,"A notorious art thief wanting a different life is involved with two of the biggest organized crime families in Monterey, CA. While trying to find a way out of crime, the masked art thief finds himself on an adventure that could unravel some unsettling relationships."
Arthur the King,An adventure racer adopts a stray dog named Arthur to join him in an epic endurance race.
Aruanda - Sentido da Vida,N/A
Askepote,"In 2024's big Norwegian Christmas film, Cinderella turns fairyland on its head when she refuses to marry a lame prince just because the shoe happens to fit."
At Her Feet,Archeology students and their Hawaiian guide encounter unseen allies and a misguided protector as they risk their lives saving artifacts in the path of an erupting volcano in Hawaii Volcanoes National Park.
Atlas,"In a bleak-sounding future, an A.I. soldier has determined that the only way to end war is to end humanity."
Attack on Titan the Movie: The Last Attack,"The fate of the world hangs in the balance as Eren unleashes the ultimate power of the Titans. With a burning determination to eliminate all who threaten Eldia, he leads an unstoppable army of Colossal Titans towards Marley."
Autumn and the Black Jaguar,"After years in New York City, 14-year-old Autumn returns to the Amazon rainforest to save her childhood village and beloved jaguar friend."
Ayalaan,"A lost alien seeks help to go back to his home, but everything gets harder after the alien returns to its home."
Ba Jie,N/A
Baba Yaga spasaet Novyy god,"The Snow Queen and Santa Claus were once old friends who learned the magic of cold together. But their paths parted when the Snow Queen, envious of her friend's strength, stole a magical artifact from which Santa Claus drew his power and created magic. The wizard was able to defeat the sorceress with some difficulty and imprisoned her in an ice prison. Thousands of years later, nowadays, the boy Yura finds the ice staff of the Snow Queen at the New Year's fair and unwittingly frees her. Returning to the modern world, she decides to take revenge on her sworn friend and comes up with an insidious plan that will freeze the whole world on New Year's Eve. For this purpose, she kidnaps a boy and takes him to the ice kingdom. To prevent her machinations and save not only Yura, but also the whole world, Santa Claus will need the help of the sorceress Baba Yaga, Ivan Tsarevich, Maria the artificer and other magical creatures. A new, incredible adventure awaits them."
