Title,Storyline
(S)KiDS,"Set in 1993, this edgy punk rock opera follows a group of disaffected teens navigating their last year of high school as they uncover a dark truth about their Principal."
10 Lives,"A pampered cat takes for granted the lucky hand he has been dealt after he is rescued and loved by Rose, a kind-hearted and passionate student. When he loses his ninth life, fate steps in to set him on a transformative journey."
1963,"Mick Black shares his harrowing tale, revealing the origins of the Frome child in a narrative so shocking it could shatter anyone who hears it. In the midst of this, Dot devises a clever scheme to help Mick in orchestrating a few mishaps."
200% Wolf,"When Freddy Lupin's wayward wish transforms him into a werewolf and deposits a mischievous moon sprite on earth, Freddy must restore the cosmic order before the earth and moon collide."
2054: The Wreckoning,"In a time where super abilities are banned world-wide, how can Luna Birmingham (Zosia Vogan) and her best friend Riley Thatcher (Isabella Ityvaskase) survive the onslaught of innocent Scourges? And what's worse, The Boss is plotting something sinister."
2475 Dawn of Revolution,This animation will bring you back in time to witness significant occasions that occurred during the Siam Revolution in 2475 BE (AD1932).
A Few Moments of Cheers,"Kanata, a high school student who loves making music videos, finds purpose and inspiration after watching a street performance by Yu, a teacher who abandoned her dreams of having a music career."
A Sloth Story,"After a terrifying storm destroys their home, a speedy sloth named Laura and her kooky family move to the big city in their rusted old food truck hoping to make their business a success."
Abandoned,"James and Laura step into the deserted watcher tower, oblivious to the trap Dot has laid, providing Mick Black an opportunity to eliminate them."
"Abenzaidún y Wallada, amor eterno","The famous love story between the poets Ibn Zaydún and Wallada, from the ancient caliphate of Córdoba"
Abá e Sua Banda,"A kingdom of fruits. A king with no strength to keep ruling. An orphan prince who does not accept his fate. A world at imminent risk. These are some of the ingredients of Abah, an adventure movie full of humor, in which we can follow the young Pineapple prince's trajectory and his conflicts with his dreams and responsibilities. It is a story of acceptance and personal growth. A portrait of a brief moment of prince Abah's life: a transition from his unripe childhood to the new colors of maturity."
"Ado SPECIAL LIVE ""Shinzou"" in Cinema","Recording of Ado's live ""Shinzou"" performance, that established her as the first solo female artist to perform at the iconic Japan National Stadium."
Adventures of Mickey Sherlock Mouse & Winnie the Pooh,"In this heartwarming animated adventure/comedy, Mickey Mouse receives an urgent call to action from none other than the King of England himself. The Crown Jewels have been stolen, and the fate of the kingdom hangs in the balance."
Ah My Goddess: Bad Goddess One Wish,"Robin Williams is put on Trial in the Afterlife for the Crime of Taking His Own Life, and Marlon Wayans is his Lawyer. During Trial Recess the Two of Them visit Gotham City from Tim Burton's Batman."
Alex and Mia's Awesome Movie!!,"Alex is a student in middle school and has a crush on a girl in his school. He has been trying to impress her by being kind and helpful, but unfortunately, a bully in the school has been making his life miserable. The bully constantly teases and taunts Alex, making it difficult for him to focus on his studies and personal life. One day, Alex decides to confront the bully and stand up for himself. He is determined to prove that he is not someone to be messed with and that he won't tolerate being bullied anymore until a fight is settled."
