Title,Storyline
30 to 45,A filmmaker with limited success tries to survive between projects as his situation becomes increasingly uncertain.
76 Days Adrift,"After a whale hits his boat, Steven Callahan survives 76 days alone on a life raft crossing the Atlantic. His bestselling story ""Adrift"" comes alive through vintage footage, photos, and recreations."
87 Candles,"Story of an 87-year-old Elguja Orjonikidze, Georgian man who continues to defy age by competing in ski tournaments year after year."
9 sekund,"Aldar Tsydenzhapov was born in a small village in the Trans-Baikal Territory and since childhood wanted to serve in the navy. And his dream came true. However, his life was short-lived, ending at the age of 19 after a disaster on the destroyer Bystry, where he selflessly saved the entire crew."
A Almería de Leone,"From 1964 to 1975, Sergio Leone imagined a spaghetti-flavored West, more violent and ruthless than the real West. In the ""Dollars"" trilogy, where death had a price, we were introduced to Clint Eastwood, who personified the archetype of the anti-hero, cunning and quick on the trigger. His films are major references in Cinema, whose stories, immortalized on celluloid, will live forever in our collective memory. 60 years later, the VHS Podcast in collaboration with The World is a Set, traveled to Almería, in the south of Spain, looking for a mirage in the Tabernas desert and there to tell a story... that of Leone."
A Bronx Tale: The Original One Man Show,"One man lives in the neighborhood, another man owns it. A devoted father battles the local crime boss for the love of his son"
A Complete Unknown,"In 1961, an unknown 19-year-old Bob Dylan arrives in New York City with his guitar and forges relationships with musical icons on his meteoric rise, culminating in a groundbreaking performance that reverberates around the world."
A Serena Onda que o Mar me Trouxe,"On a journey through his own history, the director Edson Ferreira revisits his father's legacy, a black man who made the looks of affection his school of life."
A modo mio - Patty Pravo,N/A
A nuestros amigos,"Sara and Pedro, young adults from working-class Madrid, love to raise hell together. But over the course of a summer, Sara gets introduced to another world, theatre, and becomes torn between two worlds."
Ae Watan Mere Watan,"In the midst of India's struggle for freedom in 1942, a brave young girl starts an underground radio station to spread the message of unity, setting off a thrilling chase with the British authorities during the Quit India movement."
Aftografo: Evangelos N. Roussos,"This film is a tribute to an important literary personality, the Syrian classical philologist-researcher Evangelos N. Roussos, internationally recognized for his contribution to pre-Socratic philosophy, a man of constant transcendence."
Ago,N/A
Ajiniyaz,N/A
All Access to Rossa 25 Shining Years,"A new documentary on the one and only Indonesia's Queen of Pop, Rossa, explores her journey in music, career, and love, including the stories behind the diva's legendary songs."
Alyah and the Cove,N/A
Alzheimer mezhdu baba i men,N/A
Alí Primera,"This is a biographical film about the Venezuelan singer-songwriter Alí Primera. It narrates the historical events that led him to be known as the ""people's singer"" and leader of the largest movement of Venezuelan artists committed to the cause of the dispossessed. It is the story of his loves, his pains, and the songs that he accompanied with his unyielding behavior from his childhood in the desert areas of western Venezuela until his tragic end."
Amar Singh Chamkila,"Follows the life of pop star duo Amar Singh Chamkila and Amarjot Kaur, whose songs that were social commentaries or devotionals became massive hits in the 80's."
Amaran,"The life of Major Mukund Varadarajan and is set against the backdrop of the Qazipathri Operation in Shopian, Kashmir, which took place back in 2014."
Another Part of Me,N/A
Anssi Mänttäri - Suomielokuvan kummisetä,"The career of Anssi Mänttäri is breathtaking. He has directed over 26 full-length films and participated in more than a hundred film productions, but is still often in the eyes of the public ""the unknown greatness"" of the Finnish cinema. The documentary broadly opens up Mänttäri's thoughts about his own career, personal successes and failures. The deep chest voice brought with the experience is of course visible when discussing the making of the films, but also when he tells his own point of view about the current state of the Finnish cinema, the Finnish Film Foundation and the ""Finnish Oscars"", Jussi awards. Mänttäri has worked in various positions in the film industry for decades, which is why he also has a clear opinion on the current challenges of the Finnish cinema in the turbulent operating environment of the 2020s."
"Antonio Mairena, la raiz del cante",N/A
