Title,Storyline
#Comicsgate - How to Kill a Movement,N/A
#RevolutionAnyone,"#RevolutionAnyone is a positive, incredibly timely documentary that says 'yes we can' change our society to better reflect the needs of all its citizens"
#UNTRUTH: The Psychology of Trumpism,"Mental health experts analyze disinformation, false narratives, and untruths in American media and culture. It examines how profit-driven enablers and power-seeking politicians create divisions threatening democracy."
"(Re)membering the riots in Afrikaanderwijk in 1972 or guest, host, ghos-ti","In 1972, the arrival of migrant workers led to riots in the Rotterdam neighborhood of Afrikaanderwijk. An explosion of violence ensued, accompanied by a hailstorm of stones and Molotov cocktails. As the current generation recount testimonials, the events are reconstructed and imbued with present-day significance. This effect is amplified through the use of a split screen showing past and present at the same time. In (Re)membering the riots in Afrikaanderwijk in 1972 or guest, host, ghos-ti, visual artist Cihad Caner explores the things we remember and the things we forget and how memories and perspectives are bound to time and place - different for each individual."
*smiles and kisses you*,"Chris, a thirty-something gas station employee, lives in North Carolina with his girlfriend Mimi, a live-sized 'love doll', who he communicates with through an AI app. A clear-eyed, open-hearted and fascinating take on machine learning and AI, the rising levels of loneliness, and the social implications for people who may seek safety and control over their circumstances in ways they cannot find elsewhere in life."
...and Juliet,"The film's author runs audition for a film after Shakespeare's Romeo and Juliet. Three female actors come to try for ""Juliet"". What if Romeo and Juliet luckily survived? Would they have been happy together? This question is answered by yet another audition. The audition is over. A feature film ""Romeo and Juliet"" transforms into ""...and Juliet"" docufiction."
01,"Nanos Valaoritis is reflected in the cinematographic lens, weaving personal memory into space and time."
01 Redux,"01 is an experimental documentary about the new possibilities of the digital camera and a train journey from Sant Celoni to Barcelona early in the morning on a Thursday of October 21, 2004."
045 - Sporen van Mijnstreek-Oost,N/A
06.02 Umut,N/A
1 Thessalonians,N/A
1-800-on-Her-Own,Brilliant singer-songwriter Ani DiFranco balances her passion for creating music with raising children. An intimate glimpse into her unique artistry and modern family life.
10 rounds,N/A
100 Yillik Armagan,N/A
100 di questi anni,N/A
100dB Indust-bag,"A poetic punk rock journey of a band from a small town of former Yugoslavia, who stubbornly kept to their own voice, despite its country's 'bad history' and decades of changing trends."
101 Reasons to Visit South Korea,K-pop K-Beauty K-Movies K-Culture K-Cuisine K-Spiritually
11 Brothers: The Movie,N/A
11 Días en Ayacucho,"A group of students from Lima embarks on a volunteer trip to four rural communities in Ayacucho, discovering the problems and dreams that some of the most forgotten residents of Peru have."
12 Digit Masterstroke: The untold story of Aadhar,"Explores logistical, technological and political challenges faced by the team, spearheaded by tech wizard Nandan Nilekani, in aiming to achieve something that no one had attempted before in India."
13 Lentes De Um Final Feliz (Documentário Completo),N/A
142 hronia,"Thousands of refugees are held in Greek prisons convicted as smugglers. The internationally acclaimed rescuer Iasonas Apostolopoulos is participating in a campaign to save three innocent people: one sentenced to 142 years in prison, and the other two to 50 years each. In a courtroom thriller that has lasted more than a year, will their struggle for freedom be successful?"
1952: The Invasion of Washington,"In July 1952, Washington, D.C. witnessed an extraordinary UFO wave that alarmed President Truman and the CIA. The mystery lingers."
1953. Walka o nadzieje,"The film tells the story of the first world boxing championships in post-war Poland - a cult sport at that time. In ruined Warsaw, legendary coach Feliks Stamm must rebuild the Polish boxing team to face the most powerful team in the world - the USSR. This event has not only a sporting but also a political dimension. The most successful boxers will fight in Polish colors."
2 Peter,N/A
20.10.20 - Flugten Fra Herstedvester,"In 2020, convicted murderer Peter Madsen escapes from Herstedvester Prison in Albertslund. This documentary takes you through what happened, and how it was possible for Peter Madsen to escape one of the most secured prisons in Denmark."
