Title,Storyline
#FamilyMan,One man's world turns upside-down.
#Lifestories,"A collection of six shorts exploring the range of human emotions through diverse protagonists experiencing joy, solitude, guilt, and love's complexities."
#Models Wanted,N/A
#OOTD: Outfit of the Designer,An Indonesian fashion designer studying in England finds her career compromised by an intoxicating love affair that challenges her dreams and values.
#Rats,N/A
'Descontrol',"A high school student's virtual reality gaming habit evolves into a life-altering struggle, pushing him to rock bottom. Through recovery, he finds a new purpose and dedicates his life to helping others balance technology use."
(S)KiDS,"Set in 1993, this edgy punk rock opera follows a group of disaffected teens navigating their last year of high school as they uncover a dark truth about their Principal."
"...Mayombe, Paula?",N/A
07.03,"Cursed with infertility, a couple must break the curse however they can in order to save their marriage."
1-800-Missing,N/A
1-800-on-Her-Own,Brilliant singer-songwriter Ani DiFranco balances her passion for creating music with raising children. An intimate glimpse into her unique artistry and modern family life.
10 Days of a Curious Man,"When a young woman goes missing in Istanbul, a jaded writer gets tangled up in a deadly chain of events as he sets out to find her and a good story."
10 Years A Dog,A movie star dog suddenly dies leaving his dog handler to deal with the aftermath.
10/31 Part 4,N/A
"100,000,000,000,000","Julia described palaces, diamonds, and the afterlife to captivated Afine during their night-long conversation in her room, exposing him to a world beyond his knowledge."
11 Rebels,"Amidst the Boshin War's brutal conflicts, a motley squad of criminals and samurai undertakes a desperate defense of a fortress, their stand triggered by clashing interests of the Shibata clan, the shogunate, and the new government."
11.11.18 Soldat Inconnu,N/A
12 and More Omissions,Three stories about distance in cherished relationships.
14,"Just before the election, the sudden death of the son of the chief minister and a girl ignites a media frenzy and public speculation. This clash of egos sparks a covert investigation by retired IAS officers."
14 Days Love,"During COVID lockdown, Chitra stays with her aunt and brother-in-law Chinna in Hyderabad. As they spend time together, forbidden feelings develop between Chitra and Chinna, threatening family harmony."
143,N/A
1506 - The Lisbon Genocide,The move shows a massacre against the Jews in Middle Age Lisbon that has been largely forgotten. On 19th April 1506 began the three-day massacre in which catholics assassinated about three thousand Jews in Lisbon and absolved for their sins. This 20 minutes docudrama explains the leading causes and events of the massacre.
1600 Meter,1600 Meter is feature film based on Haryana.
1776: Thierno Souleymane Baal et la révolution du Fouta,N/A
18×2 Beyond Youthful Days,"Ami, a Japanese backpacker, and Jimmy work together at a KTV. They bond over work and adventures, but Ami leaves suddenly. Eighteen years later, Jimmy finds a postcard from Ami, sparking a journey to Japan to find closure and reconnect."
1957,N/A
1970 Love Story,N/A
1978,"During the World Cup final between Argentina and Holland, in times of military dictatorship, a group of torturers kidnap a group of young people. What begins as an inhumane interrogation turns into hell: the wrong group has been kidnapped."
1980 Lo Radhekrishna,In 1980 How Krishna won love in the battle between caste and love in a village called Krishna Lanka. How he changed the gallows from caste madness. The story of how Radha won Krishna's love.
1K,"Two young men, down on their luck, are unexpectedly bound by a Lagos bus conductors prank. With just 1 thousand naira, they navigate each other's worlds, forging an unlikely bond amid danger and drama."
2 Asunder,"FAMILY, LOVE, SECRETS. BETRAYAL. A blushing bride, a determined groom, a treacherous best man and an overbearing matriarch, fighting against a ticking clock of deep dark secrets that threaten to end this wealthy family."
2 Sides of Beauty,Bontle is an ambitious and materialistic woman living in a bustling city. She has a clear vision of her future: marrying a wealthy man who can provide the luxurious life she craves.
2 Steps Forward,"""Davis, dealing with a loss of a loved one confides in his close friend Eric which leads to the question if God abandons people"""
20.10.20 - Flugten Fra Herstedvester,"In 2020, convicted murderer Peter Madsen escapes from Herstedvester Prison in Albertslund. This documentary takes you through what happened, and how it was possible for Peter Madsen to escape one of the most secured prisons in Denmark."
2020,N/A
2020,"Young couple Anya and Kostya are celebrating the New Year 2020. Anya works in an infectious diseases hospital, Kostya is unemployed. Kostya dreams of going to work either abroad or on a shift and taking his beloved with him. But all plans are ruined by the new coronavirus pandemic. As a result of the lockdown, Anya finds herself isolated at work in the hospital, and Kostya witnesses incredible events unfolding against the backdrop of the epidemic: masks, isolation, fears, illness and death of loved ones. The forced separation of a young couple becomes a big ordeal that lasts for a year."
215 Miles,A filmmaker is informed that his mother has died and decides to document the trip with his partner while driving 215 miles to Boston from NYC.
