Title,Storyline
"...Mayombe, Paula?",N/A
11 Rebels,"Amidst the Boshin War's brutal conflicts, a motley squad of criminals and samurai undertakes a desperate defense of a fortress, their stand triggered by clashing interests of the Shibata clan, the shogunate, and the new government."
2053 - A Best Case Scenario,In the year of 2053 activists and experts are looking back on how humanity made a great shift by creating a peaceful and sustainable world.
3 Frauen 1 Streik,"The strike at the Neuss-based automotive supplier Pierburg made headlines nationwide in 1973. It was one of over 300 ""wildcat strikes"" during this period, in which foreign workers and Germans worked together to improve working conditions."
A Country Called Ghana,A foreigner led by some Nigerians enters a small Ghanaian village with the intention of stealing something precious from them. Will they succeed in their quest?
A Cowardly Rout: The Bull Run Account of William Howard Russell,"In 1861, world-renowned London Times Reporter William Howard Russell would view the greatest military spectacle of his career at the first Battle of the American Civil War. His dramatic account of the battle is now finally brought to life."
ABBA: Against the Odds,To commemorate the 50th anniversary of the iconic Swedish group winning the Eurovision Song Contest.
Accident or Conspiracy: Godhra,"Based on the Godhra train burning incident and riots in 2002, focusing on the Nanavati commission enquiry and report."
Ae Watan Mere Watan,"In the midst of India's struggle for freedom in 1942, a brave young girl starts an underground radio station to spread the message of unity, setting off a thrilling chase with the British authorities during the Quit India movement."
Ahl Al Kahf,"The film deals with a fictional framework, the story of three people who wake up from their sleep after three centuries, and find themselves in a time other than the time in which they lived before, and they live in a struggle with time."
Ainda Somos os Mesmos,"In 1973, after Pinochet's coup, Chile was one of the most dangerous places in the world. The only apparently safe place was the embassies. Based on real accounts by João Carlos Bona Garcia who spent 42 days inside the Embassy."
Aiyefele,N/A
Ajiniyaz,N/A
Al Kafi,"The film Al-Kafi is the biography of the most important Shia Hadith book and the life of its author of this book that is, Shaikh Muhammad bin Yaqub Koleyni - the most important Shiite scholar of the 10th century in the passage of history"
Aliens Return,"A picturesque English manor transforms into a nightmare for bride-to-be Mya. While preparing for her dream wedding, she stumbles upon a mysterious black substance that unleashes horrifying events."
Aliens Uncovered: The Land of Legends,"In the deserts of Arizona, beneath the vast expanse of the night sky, unseen forces linger, defying explanation and challenging our perception of reality. Journey through time as we explore encounters from Native American folklore to modern sightings, uncovering tales of mysterious crafts, otherworldly beings, and government cover-ups. As we traverse the stunning landscapes of Arizona, we reveal how these legends have shaped a collective fascination with the skies, inviting viewers to ponder: are we truly alone in the universe?"
Aliens Uncovered: The Thunder God,"The oral history of the Superstition Mountains unfolds the mysterious legends linking extraterrestrial encounters with the enigmatic area, exploring the intersection of alien lore and ancient mythology."
All or Nothin',"In 1853, 28 slaves escaped from Boone County, Kentucky. Unwilling to accept their departure, wealthy plantation owners set out to locate the 28, following them through Ohio, Indiana and Michigan."
America's Burning,"Plunges into the fragile state of America's apparently insurmountable economic divide, with a strikingly hopeful vision for its future."
America's Woman,"Does America's future depend on its past? An exploration of a mysterious woman's influence on George Washington, his vision for America, and its independence - a vision that could deeply influence the nation's need for healing and unity."
