Title,Storyline
(A)diexodos,Some teens trying to succeed in a world that has no way out
100dB Indust-bag,"A poetic punk rock journey of a band from a small town of former Yugoslavia, who stubbornly kept to their own voice, despite its country's 'bad history' and decades of changing trends."
13 Lentes De Um Final Feliz (Documentário Completo),N/A
2024 Daytime HMA Awards,N/A
50 sentimentalnih: Srdjan Marjanovic,N/A
A BMI Christmas,N/A
A Complete Unknown,"In 1961, an unknown 19-year-old Bob Dylan arrives in New York City with his guitar and forges relationships with musical icons on his meteoric rise, culminating in a groundbreaking performance that reverberates around the world."
A Few Moments of Cheers,"Kanata, a high school student who loves making music videos, finds purpose and inspiration after watching a street performance by Yu, a teacher who abandoned her dreams of having a music career."
A Fragile Flower,Blossoming Vietnamese songstress with mesmerizing voice and gentle soul experiences resilience and hope amidst personal struggles.
A King Like Me,"Follows members of the Zulu Club, New Orleans' first Black Mardi Gras, as they work to bring the Zulu parade back to the streets."
A Última Banda de Rock,Documentary about the trajectory of the Brazilian rock band Cachorro Grande.
ABBA: Against the Odds,To commemorate the 50th anniversary of the iconic Swedish group winning the Eurovision Song Contest.
"Ado SPECIAL LIVE ""Shinzou"" in Cinema","Recording of Ado's live ""Shinzou"" performance, that established her as the first solo female artist to perform at the iconic Japan National Stadium."
Aespa World Tour in Cinemas,"Aespa's concert at London's O2 Arena, their first-ever U.K. show, featuring fan-favorite performances, ""Next Level,"" ""Savage,"" ""Girls,"" ""Spicy,"",""Black Mamba"" and showcases individual member performances and behind-the-scenes interviews."
Alcala Norte at Bilbao BBK Live 2024,"Alcalá Norte is the missing link between Madrid and Manchester. The band unleash their post-punk energy on the Bilbao BBK Live Festival stage. Alcalá Norte was born in 2019 in the north-east of Madrid - the band's name is a direct reference to a shopping mall in the Ciudad Lineal district, so let's talk about local roots. Alcalá Norte seem to have everything it takes to become a future big name in Iberian music. Even Rosalía loves them. It's true that it's hard to resist their movida-influenced post-punk, a music both snarling and disillusioned that spawned a debut album soberly christened Alcalá Norte in April 2024. Alcalá Norte may have built up quite a reputation on social networks, but the six musicians don't forget to give it their all in the flesh. Their live performances have won over music critics, industry figures and post-punk fans alike. Now it's Bilbao BBK Live Festival's turn to succumb to the Alcalá Norte phenomenon. Filmed on July 13, 2024 at the Bilbao BBK Live Festival."
Alien Weaponry: Kua Tupu Te Ara,"Two brothers attempt to storm the world of thrash metal with the Maori language, despite the fact they're both still teenagers."
All Access to Rossa 25 Shining Years,"A new documentary on the one and only Indonesia's Queen of Pop, Rossa, explores her journey in music, career, and love, including the stories behind the diva's legendary songs."
Alter-Ego Film Project,"5 short films on the theme of the Alter-Ego. Between double personality, secret identity, doppelganger and impossible love we have discovered several unconventional stories halfway between narrative and experimental."
Alí Primera,"This is a biographical film about the Venezuelan singer-songwriter Alí Primera. It narrates the historical events that led him to be known as the ""people's singer"" and leader of the largest movement of Venezuelan artists committed to the cause of the dispossessed. It is the story of his loves, his pains, and the songs that he accompanied with his unyielding behavior from his childhood in the desert areas of western Venezuela until his tragic end."
Amaltash,Rahul is a composed musician in an old city. A delightful serendipity smiles on him when he meets a warm and spontaneous girl Keerthi who is intrigued with Rahul's music.
Amar Singh Chamkila,"Follows the life of pop star duo Amar Singh Chamkila and Amarjot Kaur, whose songs that were social commentaries or devotionals became massive hits in the 80's."
American Dream: The 21 Savage Story,Follows 21 Savage's journey from UK birth to US upbringing where he conquers adversity like poverty and crime to attain success in rap music.
American Mileage,N/A
Amongst the Disquiet,N/A
Andhagan,"A piano player pretending to be visually-impaired, unwittingly becomes entangled in a number of problems as he witnesses the murder of a former film actor."
Andrea Bocelli 30: The Celebration,"Renowned Italian tenor Andrea Bocelli celebrates 30th anniversary with 3-day concert event in his Tuscan hometown, featuring duets with Ed Sheeran, Shania Twain, Will Smith, and others."
André Rieu's 2024 Maastricht Concert: Power of Love,N/A
Any Other Way: The Jackie Shane Story,"Jackie Shane was one of music's pioneering Black trans performers. On the edge of stardom, why did she disappear? Any Other Way: The Jackie Shane Story hands the mic over revealing her extraordinary journey, in her own unmistakable voice."
Apaches au Palais Garnier,"A collective choreographic performance created by Saïdo Lehlouh. Leaving room for improvisation, different dance aesthetics share the stage of the Palais Garnier."
Arbenina,"Diana Arbenina is a unique rock star and an idol for many generations. She became popular back in the 90s and still does not leave the stage, filling stadiums. However, her story is not only a series of rock concerts, but also tragic turns in fate, the bitterness of losing loved ones, the joy of motherhood and an endless flow of emotions and love of life, which allows her to overcome herself, create, write music and make people happy. Together with Diana, the viewer will live one day in the life of a rock star: meetings, rehearsals, training, caring for children, communication with her mother, the premiere of a series with her participation. How does a person who is constantly in sight live?"
Arcade Fire at Bilbao BBK Live 2024,"On stage at the Bilbao BBK Live Festival, Arcade Fire live up to their reputation as beasts of the stage. The Canadians take us on a journey of pure energy and poetry. It was in Montreal, in the early 2000s, that the multi-instrumentalist duo of Win Butler and Régine Chassagne gave birth to Arcade Fire. The result is one of the most fascinating pop bands of the last twenty years. The individual members of Arcade Fire are true virtuosos, able to switch from one instrument to another at the snap of a finger. At their explosively staged concerts, for example, it's not uncommon to see William Butler leap from keyboard to bass, while Richard Parry switches from toms to tambourine and Tim Kingsbury - the band's bassist and guitarist - improvises as a keyboardist... All this gives Arcade Fire's performances the air of an unbridled party, all set to an extravagant rock-baroque orchestration. This inventiveness and strong artistic bias (both live and in the studio) have been Arcade Fire's hallmarks since the very beginning. Many critics have hailed the band as ""the best live band in the world"". The great David Bowie even called the band members ""geniuses"". In 2018, at the Accor Arena, Arcade Fire delivered one of the finest performances ever filmed by our cameras. True to their reputation as a live beast, the Canadian band once again delivered a high-flying concert to the Bilbao BBK Live Festival audience. Filmed July 13, 2024 at the Bilbao BBK Live Festival, Spain."
Arno: Rock'n'Roll Godverdomme,A kaleidoscopic portrait of the life of iconic Belgian musician Arno Hintjens.
Art of a Hit,"With their careers on the line, a late-90s rock band journeys to a French chateau to record with an elusive super-producer. But as tensions rise and tempers flare, they realize they're up against more than just the pressure to succeed."
As We Speak,Bronx rap artist Kemba explores the growing weaponization of rap lyrics in the United States criminal justice system and abroad - revealing how law enforcement has quietly used artistic creation as evidence in criminal cases for decades.
Ateez World Tour: Towards the Light - Will to Power,"Ateez's kicks off their world tour, Towards the Light - Will to Power, in Seoul in January 2024."
Aumenta que é Rock'n'Roll,"Luiz Antônio, a clumsy radio host, unexpectedly finds himself in charge of a bankrupt radio station. With a very crazy team, he creates one of the most emblematic radio stations in the history of Brazilian rock, Fluminense FM."
Autoput bluza,"""The Highway of Blues"" is a documentary about the history of the blues. The film is a part of the series ""Music, love, passion... or more than that"" signed by the RTS documentary program. Most of the film was shot on authentic locations in America, and the main protagonist in the role of narrator, is the frontman of the band Texas Flood, Nenad Zlatanovic."
Avicii - I'm Tim,"This is the story of Tim Bergling, a shy and insecure boy who, without realizing it, suddenly created one of the world's most loved artists - Avicii."
Babymetal: World Tour 2023 - 2024 Legend - MM,"Concert by Babymetal recorded on the 2. & 3. March 2024 in the Yokohama Arena, Yokohama, Japan with 30000 fans."
Bach - Ein Weihnachtswunder,1734: Bach defies the Leipzig city council by rehearsing the Xmas Oratorio with his choir to prove he can enthrall the congregation. But the performance is canceled. Bach's wife Anna uses her connections to help change the council's edict.
Back in the Game,"This unique feature length concert film captures the founding members of indie rock band, Butterfly Vendetta, in the recording, concept video, and live performance stages, including a gig at the legendary Miller's Downtown in Charlottesville."
Back to Black,"The life and music of Amy Winehouse, through the journey of adolescence to adulthood and the creation of one of the best-selling albums of our time."
Bad Bunny: Global Takeover,"Not many music artists can claim to be a famous pop star, professional wrestler, and activist - meet the 'King of Latin Trap,' Bad Bunny. Bad Bunny is known for bringing reggaeton music onto the global stage."
Bad Case of the Country Blues: The Linda Martell Story,"Linda Martell is the first Black woman to perform at the Grand Old Opry, in Nashville, TN in 1969, at the height of the Civil Rights movement. To date, she is the most commercially successful Black female artist in country music history, with her country-western remake of the Winston's ""Color Him Father"" reaching as high as number 22 on country music Billboard charts. But unlike her male counterpart, Charlie Pride, and countless white female counterparts, Linda's success and legacy is often overlooked and rarely ever mentioned. Until now. Bad Case of The County Blues: The Linda Martell Story, is a story of what it means to have the courage to pursue your dreams. It's a story of how that courage may not exactly result in the future you might have hoped for, but is, without a doubt, all you need to find the purpose that you and only you were meant to walk in."
Balet Shchelkunchik,"Pyotr Ilyich Tchaikovsky's ballet ""The Nutcracker"" conducted by Valery Gergiev at Bolshoi Theatre live across all Russia on TV, Internet and in cinemas on the New Year's Eve."
Bass Impact,"Dubstep origins traced: pirate radio 1990s Britain, Croydon roots, online distribution rise. Skrillex's mainstream breakthrough. Multi-billion dollar industry evolution depicted."
Bastards of Soul,"In the limelight of imminent global fame, a Texas band's journey is marked by the unforeseen loss of their charismatic frontman, Chadwick Murray. This documentary captures the raw essence of their final album sessions and the electrifying stage presence that defined them, celebrating the enduring legacy of a man who achieved his dreams against all odds."
Beating at Your Side,"A music composer tries to find his inspiration, connecting with his artistic side through his muse."
Beatles '64,"Captures the band's electrifying 1964 US debut amid fan frenzy. With rare behind-the-scenes footage, it chronicles their unprecedented rise to global superstardom after performing on The Ed Sullivan Show to over 73 million viewers."
Beautiful Rebel,"The origin story of one of Italy's greatest rock stars, Gianna Nannini, who chased her dream despite obstacles from her family and the music industry."
Becoming Madonna,"Madonna's rise to fame from 1978 to 1992, exploring her personal life, controversies, and the challenges she faced during that period."
Beethoven's Nine,"Beethoven's renowned Ninth Symphony, celebrates freedom and humanity, resonates across time through performances commemorating pivotal events, revealing the work's profound cultural impact and timeless expression of resilience."
Beethoven's Nine: Ode to Humanity,"A film about music, war and hope. It follows 9 unique individuals, including Ukrainian musicians, a deaf composer, a Polish rock star, a best-selling author, a legendary cartoonist and the director himself, as they grab the Ninth's legacy."
Berliner Philharmoniker et Zubin Mehta à Evian,"To celebrate the 30th anniversary of the Grange du Lac, in Evian, the legendary Berliner Philharmoniker, conducted by Zubin Mehta, performs Mozart's ""Jupiter"" and Tchaikovsky's ""Symphony of Destiny""."
Better Man,"A singular profile of pop superstar Robbie Williams, chronicling his meteoric rise, dramatic fall, and remarkable resurgence."
"Beyond, Ode to the Earth","There isn't really a plot. It's footage of various spacecraft, the ISS and views of earth."
Bilal: Live at Glasshaus,"In this 25-year retrospective, Bilal is joined by his closest collaborators, Questlove, Common, Robert Glasper and Burniss Travis, to perform his classic songs for an intimate concert accompanied by interviews and behind-the-scenes stories."
Billie Eilish: HIT ME HARD AND SOFT - A Listening Experience,Be among the first to hear Billie Eilish's highly anticipated new album with a visual accompaniment exclusively in select Dolby Cinemas at AMC Theatres on May 16 and 17. Tickets are only $5 and a portion of the proceeds go to charity.
Black Girls Rock!,N/A
Blackpink: World Tour - Born Pink,"Showcases the iconic ""Hanok"" stage set that mesmerized fans and critics worldwide, featuring unprecedented production scale and exclusive arrangements of BLACKPINK's hit songs."
Bloody & Bruised: The Untold Story of the Back Room,"The untold story of the most infamous heavy metal club to live and die in Austin, Texas, as told by the people who survived it."
