Title,Storyline
(S)KiDS,"Set in 1993, this edgy punk rock opera follows a group of disaffected teens navigating their last year of high school as they uncover a dark truth about their Principal."
A Very Merry TV Adventure,N/A
Abá e Sua Banda,"A kingdom of fruits. A king with no strength to keep ruling. An orphan prince who does not accept his fate. A world at imminent risk. These are some of the ingredients of Abah, an adventure movie full of humor, in which we can follow the young Pineapple prince's trajectory and his conflicts with his dreams and responsibilities. It is a story of acceptance and personal growth. A portrait of a brief moment of prince Abah's life: a transition from his unripe childhood to the new colors of maturity."
Aida,"Ancient, like Egypt itself, a mysterious story of love and the opposition of good to evil."
Amaltash,Rahul is a composed musician in an old city. A delightful serendipity smiles on him when he meets a warm and spontaneous girl Keerthi who is intrigued with Rahul's music.
Anavitória COR,"Celebrating the last show of their COR tour, the duo explore their individualities through their most intimate thoughts, documented in a real way."
Anbenum Peruveli,"Anbenum Peruveli is a musical documentary on the poetry of the 19th Century Tamil saint Ramalinga Adigal, popularly known as Vallalar by singer Sanjay Subrahmanyan in collaboration with the music composer Sean Roldan."
"Angela Aguilar, Bolero: Documental",N/A
Artistic Pressure,"It tells the story of a famous artist who succeeded soon in life and had to move to another country, away from his family. He has everything he always wanted professionally, but day after day he realizes even more that what he wanted was maybe not what he needed. Pedro struggles to give his public what they want artistically from him and after a series of events he collapses, coming back to his origins to find the cure to his own madness."
Aum Penjor,"Aum Penjor is a transgender singer in a queer club, and a sort of local celebrity. One rainy night, while another one-night-stand is slipping away, she hears crying and finds an abandoned baby amongst the cartons. When she takes the baby home, she begins to develop feelings she never imagined having. Aum Penjor suddenly discovers she has maternal instincts that lead her to a whole new type of journey."
Before Time Stopped with Flipstyle,"Before Time Stopped with Flipstyle is an epic entertainment experience. This movie has got it all including music, inspiration, and love all rolled into an exciting journey of enlightenment and the uplifting of culture and entertainment."
Benjamin,"March 1, 2023: Sara Netanyahu casually goes to her hairstylist. Little does she know that three hours later, she will need to be rescued from angry demonstrators by hundreds of police officers. Upon hearing this, her husband, prime minister Benjamin, mistakes the chaos for the end of his careerand possibly his lifeleading him to flee to the family bunker. In his solitude, Benjamin is confronted by the ghosts of his wife, his political advisor, his long-deceased brother, and finally, Satan himself, who offers him the ultimate escape route."
Benjamin Bat,"The sensitive Benjamin is being mocked by his bat family because he's afraid of the dark. When on top he falls in love with a bird, he becomes a complete outcast. But his love helps him conquer his fear and stand for who he truly is."
Better Man,"A singular profile of pop superstar Robbie Williams, chronicling his meteoric rise, dramatic fall, and remarkable resurgence."
Between the Lines,The musical follows 17-year-old Delilah as she struggles to balance fitting in at her new school and a romance with a prince who is another world away.
Big Band Eyyub Yagubov,N/A
Bonnie and Clyde: The Musical,Two small-town kids from the middle of nowhere became the biggest folk heroes in all America. They craved adventure-and each other.
Bring on the Damned!,"Five tales of perversion, obsession, blasphemy, nihilism, and sadism."
Broken Glass,"Dylan meets Luna after many years since graduation, and soon they fall in love with each other, unaware of the obstacle that is about to come, changing their lives forever as secrets from Luna's past are also uncovered."
"Bryson, the Demon Slayer","A visual album depicting Bryson Gray's epic battle against Satan's cunning temptations, showcasing his unwavering faith in God amidst dark trials."
Call Me Agnes,"When unexpectedly her younger brother arrives from Indonesia, Agnes relives and re-acts her memories and life experiences in a mix between fiction, musical and real life."
CameraChild,N/A
Canciones con Historia. Fonseca,N/A
Captain Avispa,"Capitán Avispa, hero of Wasptropolis and the Honey Kingdom, puts to test his nobility, justice and innocence against the evil wasp Jacques Poison and his henchmen."
Carol,"Self-centered Solomon Lynch takes a journey through his past, present, and future. But it takes more than Christmas spirit to set things right in this story of hope, faith, and redemption."
Chainsaws Were Singing,Adventures await when new lovers are separated by a chainsaw killer.
Chicago the Musical - Adderley 2024 Advanced Conservatory at El Portal Theatre,N/A
Cirkus Summarum 2024,N/A
Civil Christmas,"During the Civil War, a wounded Union soldier falls in love with a Southern woman while taking refuge in her cabin on Christmas Eve."
DJ Marwar,"In this poignant tale of societal injustice, a dedicated school teacher, victimized by a corrupt policeman in a mid-day meal scam, faces suspension and a demand for a hefty bribe. Against his principles, the teacher's unemployed son, Kesar, shoulders the burden of raising the bribe money. Defying caste norms, Kesar and his friend embark on a DJ business, navigating not only the challenges of the corrupt system but also societal prejudices. As the duo delves into the world of weddings and music, their unconventional journey unfolds with moments of humor, resilience, and social commentary. Through twists and turns, Kesar strives to expose the corruption, reinstate his father, and mend the strained relationship. This musical action-comedy drama weaves a tapestry of integrity, determination, and justice, leaving audiences both entertained and inspired by the triumph of principles over corruption."
Dans la cuisine des Nguyen,"A Vietnamese-American aspiring actress pursues her musical theater dreams despite her mother's disapproval. Through cooking traditional meals together, mother and daughter find mutual understanding."
Dante's Divine Comedy,"An opera film inspired by Dante's Divine Comedy (Inferno, Purgatorio, Paradisio) featuring cult French actor Denis Lavant and musical performances by the medieval ensemble La Camera Delle Lacrime."
Dappankuthu,N/A
De la Doina la Rembetiko,N/A
Descendants: The Rise of Red,"After the Queen of Hearts incites a coup in Auradon, her rebellious daughter, Red, and Cinderella's perfectionist daughter, Chloe, must team up and travel in time to undo the traumatic event that drove a young Queen of Hearts to villainy."
Despierta tu alma,"A retired computer scientist shapes his own life into a film that fuses literature, visual art, electronic music and technology, guiding the audience on a journey of spiritual self-discovery."
Disney's the Lion King 30th Anniversary Tribute Special,A Tribute orchestral concert experience featuring the Johannesburg Philharmonic Orchestra and special guest talent
Dongeng Sang Kancil,"A mouse-deer, Sang Kancil, small in figure but cunning and wise. With his intelligence, Sang Kancil often escapes dangers and sometimes helps other animals that are in trouble with bigger and more fierce animals."
Dream Academy,N/A
Dynamite,"Kiki, a bonafide songstress/musician, lost in an unhappy marriage to her controlling manager/husband Mark, finds herself in a whirlwind of a romance when she meets Kofi, a replacement bassist for her band, forcing her to make an impossible decision."
Eating Me Up,"An inspirational fictional drama, inspired by real life events. The film follows Daniel Dawson, a respected psychologist who, in spite of skillfully attending to the needs of his clients, has a number of his own demons that are left unchecked. His spiral into self-destruction is interrupted when a new client, Wendy, sits in the chair across from him. The story of her struggle with Bulimia forces Daniel to relive his memories of a woman he was not able to save. Determined not to let Wendy meet the same fate, Daniel becomes obsessed with his new client and ever more determined to save her. He discovers that Wendy wants to be a singer, but her trauma has left her with crippling anxiety. He arranges a night for her to perform, but when her emotions overwhelm her, she takes matters into her own hands. Daniel must determine where she has gone and what she intends to do before it's too late."
Eco Village,"When Robin hitch-hikes to an eco village she read about online, she is seduced by a highly musical parallel universe, in which wholesome earth skills blend vertiginously with Bacchanalia and Sadomasochism. Robin falls for Jake, a brilliant but tormented handyman, and their explosive connection incites a devastating series of events that reveals the limits of human connection and the true costs of utopia."
El Salto,"Two thieves and an unscrupulous hacker are transported in time to the birth of Jesus, where they plan to steal His power and wisdom."
El Sobreviviente Elizalde,"In the early morning of November 25, 2008, Mexican singer Valentín Elizalde Valencia was executed after leaving a performance. Fausto Castro Elizalde, cousin of the singer and only survivor of the attack, tells us what happened that night."
El musical de los 80s y los 90s. La película,The opening of a bar reunites a bunch of friends 25 years later of their last time together.
Emilia Pérez,"It follows three remarkable women in Mexico, each pursuing their own happiness. Cartel leader Emilia enlists unappreciated lawyer Rita to help fake her death so that she can finally live authentically as her true self."
Even Sally,Sally is a single mom of a precocious teenager who makes electrical music with her band Teddy.
Everybody Loves Touda,"Touda is a Sheikha, a traditional Moroccan singer. Performing in the bars of her provincial town under the gaze of men, she plans to leave for the lights of Casablanca, to gain recognition and ensure a better future for her son."
Explaining Elizabeth,"An original musical drama about a boy named Erik who understands the world through musical theater. Following his older sister's sudden death, Erik devises a production about her life in an attempt to understand her unexpected passing."
First Nights at Freddy's,"Before the events of the original FNaF Musical, several stories come together to uncover Fazbear Entertainment's web of lies."
Fox & Hare Save the Forest,"It centers on the adventures of Fox and Hare, best friends who are surrounded by a bunch who have become like family. One day, they find out that Owl has gone missing, and they embark on a journey to find him."
Freydís and Gudrid,"A group of merchants and vikings navigate dramatic events both within and without in this epic musical based on the Icelandic Vinland sagas. As secrets are exposed, two women (Freydís and Gudrid) have a reckoning."
From Corinne's Heart,"Inspired by true events, Corinne dreamed of becoming a world class figure skater. Diagnosed with Secondary Progressive Multiple Sclerosis, she cannot accept her misfortune until the love of Tony gives her hope and a small miracle."
Ga Mere Maan Ga,N/A
Gaga Chromatica Ball,"In front of 52,000 people, Lady Gaga delivers a career-defining performance at Dodger Stadium in Los Angeles during her 2022 Chromatica Ball Tour."
