Title,Storyline
#OOTD: Outfit of the Designer,An Indonesian fashion designer studying in England finds her career compromised by an intoxicating love affair that challenges her dreams and values.
*YES I DO*,"Jude, a young groom of Miss Vera Raphael was abducted by his ex-girlfriend Miss Alicia Jones, made to believe his dead. Vera has to pass through a hard test and trial of love to get her man back."
0000 Kilometre,A phone call to Izmir while she and Ege are living together in France turns their lives upside down. The caller claims to be Izmir's recently deceased mother.
10 Pasimatymu,"Justelis is a young, good-looking, friendly IT professional who, after drinking too much alcohol at the company Christmas party, accidentally spills his heart to one of his best friends and reveals his deepest secret - he's still a virgin."
10 Things about Sally,Sally feels disconnected from life until she is convinced by her psychiatrist and her friends that dating is the answer.
14 Days Love,"During COVID lockdown, Chitra stays with her aunt and brother-in-law Chinna in Hyderabad. As they spend time together, forbidden feelings develop between Chitra and Chinna, threatening family harmony."
18×2 Beyond Youthful Days,"Ami, a Japanese backpacker, and Jimmy work together at a KTV. They bond over work and adventures, but Ami leaves suddenly. Eighteen years later, Jimmy finds a postcard from Ami, sparking a journey to Japan to find closure and reconnect."
1970 Love Story,N/A
1980 Lo Radhekrishna,In 1980 How Krishna won love in the battle between caste and love in a village called Krishna Lanka. How he changed the gallows from caste madness. The story of how Radha won Krishna's love.
3. Gun,"Elya, who is a gastronomy graduate from Izmir, wants to pursue an academic career and find her soulmate. She meets Semih through social media and finds herself in the middle of an interesting situation."
3391 Kilometres,"A lonely Turkish girl meets a boy who lives in a small town of France. Despite living far apart, they bond over shared quirks. Through late night chats they become close, overcoming physical distance to find friendship."
36-24-36,"Insecure plus-sized event planner Sayra falls for Tahsir. Confronting past trauma, her self-esteem falters. She embraces self-love, respect, and societal acceptance, redefining beauty standards, overcoming struggles with body image."
40,"A famous vlogger commits suicide after her content is based online. When she is about to kill herself, a man is quick enough to save her."
43 Degrees North,"While grieving the loss of his late wife, a world-renowned author goes into seclusion on an island in the Gulf of Maine. In his isolation, he befriends a strange entity that may not be of this world."
5lbs of Pressure,"Trying to start over, Adam searches for redemption as he returns to his old neighborhood to put to rest his demons while the brother of the man he killed seeks revenge."
7 Days to Get Rid of My Ex,N/A
8 Views of Lake Biwa,"On the shimmering shores of Europe's otherworldly edge, two teenage girls, Hanake and her best friend are discussing their first love interest while gazing out at yachts sailing to Kyoto. They whisper prayers and poems, the language of their longings. But the magic is fading in their isolated fishing village as they come to terms with a recent disaster, with some indulging in acts of erotic art, some in spiritual spells. It becomes clear that intimacy alone won't help them process their loss. In a deeply visceral tale, acclaimed Estonian director Marko Raat explores themes of love, illuminating the lives of a community who still believe that they are connected to the universe."
9 Lives,Dark. Comedic. Queer. Follow the journey of Clara and June as they navigate a bizarre night together thanks to an unlikely hero: a dead cat named Beans.
A '90s Christmas,"While celebrating her promotion alone on Christmas Eve, a workaholic lawyer is transported back to 1999 via a mysterious rideshare experience."
A Bluegrass Christmas,"Katie's horse sanctuary faces closure. To save it, she must convince her grandfather, Bluegrass star Ben Pendleton, to perform at a Christmas benefit concert after years of seclusion."
A Brooklyn Love Story,"A longtime family-owned business gets pressured to sell to gentrify the neighborhood until a local loving mobster concocts a crazy plan to save the day, clearing the way for two people searching for love to find their everlasting."
A Christmas Castle Proposal: A Royal in Paradise 2,"Despite busy schedules causing distance, Olivia and Prince Alexander travel to Torovia for Christmas with his family. Clashing cultures between their families lead to various mishaps."
A Christmas Dream,Ashley and her mother Susan are two New Yorkers coming to Italy to sell the grandparents ranch. Once there Ashley falls in love with one of the potential buyers and decides to spend her life with him.
A Christmas Gift,N/A
A Christmas Thrill,N/A
A Christmas of Wonders,"After years of globetrotting, a travel writer returns to her small hometown for the holidays, where she rediscovers the magic of family traditions and reconnects with an old flame."
A Circus Tale & a Love Song,"A romantic circus performer leaves Mexico seeking love, landing in New Orleans where he falls for an exotic dancer - but her possessive ex threatens their chance at happiness."
A Country Music Christmas,Songwriter Brooke has the decision of a lifetime to make when a charming executive makes promises of fortune and glory that require leaving her best friend and writing partner behind.
A European Christmas,"When Christmas movie director Ivy has another 'heartless' flop, she seeks the star of her debut hit in snowy Serbia. Despite refusing to return, he shows her the wonder of Serbian Christmas."
A Family Affair,"A surprising romance kicks off comic consequences for a young woman, her mother, and her movie-star boss as they face the complications of love, sex, and identity."
A Fragile Flower,Blossoming Vietnamese songstress with mesmerizing voice and gentle soul experiences resilience and hope amidst personal struggles.
A Garota do Bar,N/A
A Ghetto Love Story,"A poignant romantic drama centered around Obinna and Stella, childhood friends whose dreams of a lifelong connection are overshadowed by life's harsh realities."
A Heart for Christmas,"A young girl's Christmas wish comes true when the mom she never knew comes home for the holidays, but the family reunion gets complicated now that her father's heart belongs to someone else."
A Heart on the Mend - Part 2,"Ralph's mending heart has been nurtured and healed by his new found love, Joanne. Christèle, their mutual friend who left five years ago without a trace, suddenly returns with a daughter, Sophie. The trio's relationship will once more be tested as Sophie mysteriously falls ill. Will this inconvenient news bring them closer together or shatter their hearts on the mend?"
A Hero is Born,"A descendant of a martial arts family, developed through the light of benevolence, fulfils their responsibility, resolves internal conflicts, rescues fellow disciples to return to their original aspirations, and ultimately finds true love."
A Hold on Me,N/A
A Love to Last,N/A
A Love to Remember,N/A
