Title,Storyline
1710 Bunker Hill Avenue,"Six months have passed since the ""Ascension Event"" and the Soliatite invasion of planet Earth. Mason Redgrave scours the wasteland with the help of his virtual companion Riley-B12 as they search for answers regarding The Astral Brotherhood."
2015: Future Uncertain,"In the year 2015, a disgraced space commander stumbles upon a top-secret mission to save planet Earth from uncertainty."
2053 - A Best Case Scenario,In the year of 2053 activists and experts are looking back on how humanity made a great shift by creating a peaceful and sustainable world.
2073,A woman living in a ruined Earth tries to comprehend how the world was destroyed.
23 Horas,N/A
40 Acres,"In a post-apocalyptic world with food scarcity, a Black family of Canadian farmers descended from American Civil War migrants defend their homestead against cannibals trying to seize their resources."
404.01,"Amna, a young surgeon, is drawn into a mystery when a voice from the future gives her orders in exchange for money. Accused of murder, she discovers disturbing secrets about her past and those close to her. Her marriage of convenience and her lost love become entangled in a complex plot, where every decision could be fatal. Amna must outwit the voice to escape her destiny."
43 Degrees North,"While grieving the loss of his late wife, a world-renowned author goes into seclusion on an island in the Gulf of Maine. In his isolation, he befriends a strange entity that may not be of this world."
5 More Minutes,"Eli Lees struggles with balancing his school and social life, when one day he purchases a VR headset inhabited by TAL-OS, a friendly AI. Eli must come to terms with his future, while trying to avoid it via the ECH_OS VR headset."
7 Vidas,"Un gato extraviado por una confusión, un fumigador que llega a un edificio inteligente, encargados de edificios muy extraños, todos confluye en una comedia inimaginable."
95B,Memories populate a woman's time on board the canal boat 95B as she navigates an environment held captive to an unnatural occurrence.
A Blissful Filmmaker Known as Karl Marx,Karl Marx lives again in a new body. He wants to be famous and rich in the film industry. He calls Friedrich and leaves him messages explaining his plan. Karl will direct movies that make people sleep and become 'The Master of Boredom.'
A Coffin of Stars,"In rural Virginia, a man unwittingly discovers a mysterious cosmic force haunting not only the woods beyond his property, but the very starlight above. Soon, he will come to realize that this isn't an abduction he's facing...it's revenge."
A Conceptual Artist Called Karl Marx,"The year 1999, a reincarnated Karl Marx chose to become an artist. In 2024, he notices new aspects of reality. For years, Karl used to call Friedrich and leave him messages. Karl made conceptual art. The voice recordings are his artwork."
A Cápsula,N/A
A Divorce Story,"A married couple agree to finalize their divorce papers on a specific day. As they experience the hardships and frustrations that materialize, they begin experiencing odd symptoms brought on by a mysterious orb."
A Party for Karl Marx,"Friedrich funds a contemporary clone of Karl Marx. Marx's hideout is in Peru. Karl will be in a meeting of the Communist Party. Dads, moms, and kids arrive to enjoy a birthday party. Karl freaks out, noticing a priest and nuns."
A Quiet Place: Day One,A young woman named Sam finds herself trapped in New York City during the early stages of an invasion by alien creatures with ultra-sensitive hearing.
A Time Traveler 2492: Apocalypse,N/A
A Time Traveler 2492: Episode III,N/A
A-Side: Suburban,N/A
A.R.C.A,"After discovering a massacre in the executive boardroom, four colleagues must deactivate the facility lockdown, while discovering the mystery of their bosses' murder, before a nuclear bomb destroys the covert supernatural holding facility."
AN,"Time is not linear as people perceive it. It consists of moments. Moments always exist and will always exist. Doctor Çagri is a Neurologist. Funds are received from a company to conduct studies on epilepsy. In his research, he discovers that his patients experience space-oriented time breakdown lapses during an epileptic seizure. He wants to use the available funds to prove that it does not flow linearly in time."
ARI,N/A
Abaddon's Pit,"Dave blames himself for the death of his wife Samara. He moves to the abandoned family farm to recover. There, he connects with his cousin Gareth. When they find a bottomless pit that changes everything that enters it, they become obsessed with its secrets."
Abductee,One man's descent into madness as he tries to discover what comes for him in the middle of the night.
Abduction: The Harvesting,A mother must battle occult phenomena and a wide conspiracy when the alien abduction of her teenage son looks like demonic possession.
Aberracja,"Two guards, isolated from the world, take care of a research and military post on the border. Their routine activities are interrupted by an intruder."
Acceleration Horology,"A physicist runs an experiment, implementing the theory of quantum entanglement."
Adabana,"In a not so distant future where lifespan extension has become a priority following the spread of a mysterious virus, a privileged man looks back upon his life as he is facing a dilemma: should he live if it means taking someone else's life?"
Adam i Eva,"Marina and Viktor are the only people left in a huge city, perhaps on the entire planet. After the heroes had somehow arranged their daily life, they were faced with a much more serious question - an existential one. How to revive humanity? Especially considering that they don't like each other."
Addy Daddy,A lonely young man introduces his new girlfriend to his parents and they immediately hate her for no reason.
Adresi Olmayan Ev,N/A
Afraid,The Pike family is selected to test a new home device: a digital assistant called AIA. AIA learns the family's behaviors and begins to anticipate their needs. And she can make sure nothing - and no one - gets in her family's way.
After the Thunderstorm,"After a massive war between humans and machines,a small group of humans fight for survival."
Aftermath,"After waking up in the middle of a forest with no memories, a young woman is targeted by mysterious strangers with a motive as unclear as her way back home."
