Title,Storyline
11.11.18 Soldat Inconnu,N/A
24 Hours to D-Day,A squad of American paratroopers are dropped behind enemy lines in Nazi occupied France to prepare a signal beacon to guide Allied forces in preparation for D-Day.
72 Sigan,"Film about the occupation of Seoul in three days during the Korean war, which the DPRK calls the fatherland liberation war. Divided into two parts."
Air War,"Rivalry between Israeli fighter pilots escalates before 1967 Six-Day War. As Israel's survival is threatened, they must unite to lead their squadron, ultimately achieving victory."
Al-Shifa Hospital: The Crimes They Tried to Bury,N/A
All the Lost Ones,"In a dystopian and climate-ravaged future America torn apart by civil war, a group hiding in a remote cabin become the target of a ruthless rebel militia leader and his platoon, viciously hunted in a fight for survival."
Amaran,"The life of Major Mukund Varadarajan and is set against the backdrop of the Qazipathri Operation in Shopian, Kashmir, which took place back in 2014."
"America, Invaded",Twenty years later. Two wars later. Is America safer?
Anzac.Lemnos.1915.,"In the lead-up to Anzac Day, the small Greek Island of Lemnos was used as a base to train soldiers, before being converted into a military base and hospital to support the campaign in Gallipoli for Australians, New Zealanders, and Indians."
"Arlempdes, la légende du premier château de la Loire","In the year 1538, the castle of Arlempdes, then owned by the Poitiers family (loyal to the King of France), was attacked by a new threat, at the dawn of the religious wars, the Huguenots. The latter, Protestants, wanted to overthrow the royal power in France and, supported by Italian mercenaries (the kingdom of France being in the middle of the Italian wars) seized the castle, then the first bastion of the Loire, and strategic property of the King of France. Then followed for three years a military campaign undertaken by Françoise de Brézé, daughter of Diane de Poitiers, to retake her mother's stronghold. The military campaign is a success but Françoise, with the help of her faithful knights, must face the threat of the terrible Huguenot leader, who constantly wants to seize the castle and pillage the Velay region. . The Duchess had not foreseen certain weaknesses of the castle, although deemed impregnable at first sight... She will have to face the loyalty of some, and the betrayal of others... while her most loyal men will have to face their conscience and the blackmail of the terrible Huguenot leader, calculating and manipulative... This film is our first feature film, imagined and developed since the beginning of 2022 and shot in October and November 2023 in Auvergne. It will last approximately 2 hours. This historical fiction feature film is currently in post-production and should be released in cinemas sometime in 2024. It is a film highlighting the small story in the big one, with the aim of introducing French regional heritage to the public."
