Title,Storyline
12 Million Dollar Movie on Paper,N/A
A Cowboy Against Thunder,"Three traders make their way across the prairies to deliver a mysterious box to an unknown buyer, but an unnatural storm strands them at a homestead. The house is home to a single strange occupant - The Watcher. The Watcher tells tales of a magic lantern and a desperate cowboy attempting to save his wife. As they decide what's real and what's not, the traders hatch a plan to retrieve the large iron chest they left stranded in the storm. The Watcher warns them of a spirit that haunts his homestead to this very day. Unexplained happenings and violent confrontations lead to the revelation that The Watcher is not as he appears. A twisted family history leads to the truth behind the lantern. And just when it seems like the traders have a handle on things, they come face-to-face with the elusive cult known only as The Red Hats."
Adiós al amigo,Revolutionary soldier Alfredo Duarte Amado receives a telegram with the news of the pregnancy of his brother wife. He convinces an amateur photographer in the bowels of the Chicamocha canyon to go with him searching for his brother.
Andromeda: 1883,A space marine travels back in time to save the future of the human race.
Astral Plane Drifter,Sometime Before Yesterday. Or After Tomorrow. Somewhere Out In The Yonder. There Was This Guy.
Attack on Tranquility,N/A
Bitter Gold,"Pacífico's injury thrusts his daughter Carola into leading his mining crew, navigating greed, misogyny, and threats while trying to secure their future."
Bo Nan Za,"A string of solitary figures grope their way through the sun-drenched wilderness. Misguided by hopes and driven by shadows, they silently fall into a creeping dependency. Some of these spectral characters coexist in a ""nowadays"" world of different limits. Embarking on a day and night quest through the desolate streets, they end up caught in a bizarre procession of personal rituals. Meanwhile, a dignified urban drifter explores and remaps the common roads of the sleeping city. The highs and lows of urban life might ultimately be transcended. A change of roles is about to come."
Bolero,A woman travels through dimensions to find a distant man.
Boot Hill,N/A
Buffalo Kids,"Two Irish orphans journey by train across America, encountering villains and heroes. They make an extraordinary friend and search for a new home, facing adventures and dangers along the way."
Bullet or Rope,N/A
Buried on Shine Mountain,"Two young farmhands, led by an experienced prospector, venture up the dangerous and haunted Shine Mountain in search of life-changing fortune."
Calamity Jane,"After her husband-to-be Wild Bill Hickok is killed in an infamous poker game, Calamity Jane must break out of prison and find his murderers before Deadwood's Sheriff can arrest her."
Coyote Woman,For the first time on screen: Real-life scalp hunters JJ Glanton and Judge Holden from the novel Blood Meridian. Cynthia is a captive turned Comanche Woman. She lives with the last free band until they cross ways with savage scalp hunters.
Dans l'ombre de Marlow,N/A
Death After Dusk,"In the town of Buck Creek in 1899, the residents live in fear from a murderer known as the Buck Creek Killer. The sheriff decides to assemble a team of nine bounty hunters to track down and eliminate the ruthless killer once and for all."
Desert Fiends,Six friends on their way to a concert break down in the middle of nowhere and encounter a deranged family that lives in the desert killing anyone they come across.
Doc Holliday 2,The adventures of Doc Holliday continue as he finds himself on trial for the murder of a missing Faro player.
Doc Holliday 3,Doc Holliday retires to Colorado after a long battle with tuberculosis and finds himself in one final adventure to save a young man from ruthless outlaws.
El Vaquero,The arrival of a stray horse triggers a series of events in Bernicia's life that alters her world as she slowly takes on the persona of a cowboy.
Escanyapobres,"The arrival of the train to an isolated town brings progress, but also to the obscure usurer Oleguer with shady businesses. When she expropriates the farmhouse of Cileta, the young peasant woman will do her best to recover her house."
Eye for an Eye 2,"A blind swordsman reluctantly mentors an orphan seeking vengeance for his destroyed family, teaching him martial arts skills. The orphan waits for an opportunity to avenge his kin."
Fyre Rises,"Debt-ridden pacifist Richard Fyre is propositioned to return to his abandoned mercenary ways by flamboyant zealot, Priest, to eliminate his international competition in exchange for a clean slate."
Ghost Town,"Two families at odds for generations, are bent on revenge in the worst way."
Ghosts of Red Ridge,"In the gold bust town of Red Ridge, a haunted Sheriff and his Deputy wrestle with outlaws causing chaos amid the town's decline."
Goin' Home,"Apaches escape their reservation seeking revenge for the killing of a young Apache girl. Fort Bowie's commander sends B Troop, a bigoted, ill-tempered group of men he wants to rid himself from his command."
Golden Kamuy,"In the early 20th century in Hokkaido, Japan, a treasure hunt between various parties takes place for a hidden stash of gold."
Guns Blazin,N/A
Harsh Treatment,"When a pair of failed outlaws botch a big score, they settle for a smaller one instead - putting them in the crosshairs of a dangerous tracker who'll do anything to recover the priceless treasure they don't realize they've stolen."
Hinter dem Eisernen Horizont,"The android E-Lena is about to embark on her biggest adventure yet. The search for her unknown creator takes her on a journey through time and into the Wild West. Not long after arriving, her bounty is hunted across the town."
Horizon: An American Saga - Chapter 1,"Chronicles a multi-faceted, 15-year span of pre-and post-Civil War expansion and settlement of the American west."
Horizon: An American Saga - Chapter 2,The continuation of one story of the settlement of the American west. It follows the further adventures of characters first featured in Horizon: An American Saga.
In Search of Bass Reeves,"Deputy U.S. Marshal Bass Reeves was one of the preeminent gunfighters of the Old West. We explore his life from captive slave to legendary lawman, through the antebellum South to the Civil War and the hostile plains of Indian Territory."
Jama,"Kevin and Mia are con artists, who seduce and rob wealthy women. Their robbery of the wealthy seductress Emma goes awry. In a remote forest, Emma wakes up and flees. They set out to hunt her down. A game of cat and mouse begins."
Joe Crist,A former bounty hunter awakens from a six-week coma to find he has been 'touched' for a higher calling.
Lady Outlaw,"In 1890s Oklahoma, a pair of fugitive lovers face a perilous journey home. With lawmen and bounty hunters hot on their heels, George and Rose must outwit their pursuers and navigate treacherous terrain to reach safety in Ingalls."
Last Flamingo of the Red Summer Sunset,"The frontier is closing, but the imagination of the west remains. Decades since the genocide of a local tribe, there is one final 'wild-man'. Benjamin wishes to rid the land of the indigenous peoples, tasking Henry with extermination."
Lolo & Sosaku: The Western Archive,"Filmmaker Sergio Caballero teams with contemporary sound artists Lolo and Sosaku. In this absurdist adventure with a Western flavor, the duo become modern cowboys, with the desert offering the raw materials to create complex sound machines and installations."
Malaikottai Vaaliban,"Journey of Malaikottai Vaaliban, an undisputed warrior, transcends time and geographies, triumphing over every opponent he encounters."
Morningstar,A young woman must navigate the dangers of the Wild West to get to the man she is set to marry.
Mr. Pettigrew,N/A
My Redneck Neighbor: Chapter 1 - The Rednecks Are Coming,Crazy Asians collide with a bunch of Insane Rednecks who move into an Hollywood Hillside to set up
Myall Creek Day of Justice,Based on the story of late 1830's colonial Australia where an unspeakable crime against First Nations people caused an upheaval between law and order.
Oltre il confine,N/A
Once Upon a Time in Amityville,The origins of the Amityville legend are explored in an old settlement town.
Outlaw Posse,"In 1908, an outlaw returns from years of hiding in Mexico to claim stolen gold hidden in the hills of Montana."
Over the Red River,"Follows a tenacious young widow who braves the perilous desert to free her kidnapped sister and wreak vengeance on the outlaws who murdered her husband, while also crossing paths with an ex-member of the same gang that ruined her life."
Pale Moon,"Reagen Moon is a young woman who is the daughter of the Sheriff. She feels like she has something to prove, and she tries her hand at being a bounty hunter with the help of the mysterious drifted named Bear."
Paradise,"When corrupt officials cover up the murder of Ella's father, she cuts a swath through the anachronistic underbelly of her small island town."
Pedro Páramo,"Follows a dusty road to a town of death. Time shifts from one consciousness to another in a hypnotic flow of dreams, desires and memories, a world of ghosts dominated by the figure of Pedro Páramo, lover, overlord, murderer."
Rust,An orphaned boy of 13 left to fend for himself and his younger brother in 1880s Wyoming is sentenced to hang for the accidental killing of a local rancher. His estranged grandfather breaks him out of jail and they go on the run to Mexico.
Same Old West,"In the backlands of Goiás, two brutal men, after being abandoned by the same woman, turn violently against each other."
Searching for the Elephant,"Recovering addict Jason, on parole, reunites with estranged veteran grandfather Griff at a ranch. Amidst their strained relationship, they face threats from adversaries demanding debt repayment."
Seven Cemeteries,A recent parolee (Danny Trejo) gets a Mexican witch to resurrect his old posse so that they can help him save a woman's ranch from a ruthless drug lord.
Sinners in the Hands of an Angry God,A ranger exacts bloody vengeance against the gang that killed their partner.
Six Guns for Hire,"A vicious group of strangers gather to divvy up the spoils of a train robbery, while an ace detective pursues hot on their trail. As the bandits realize they may not be strangers after all, the detective unearths a deadly conspiracy at the heart of their crime."
TV Heroes of the Wild West,Follow fearless cowboys and lawmen as they take on outlaws and defend the frontier.
Taken from Rio Bravo,"In 1874 Texas, two friends and an Indian scout rescue kidnapped women from sadistic traffickers near the Mexican border."
The Ballad of Winchester Pete,N/A
The Dakota War: Attack on Fort Ridgely,"Starving on a federal reservation, Dakota Indians attack settlers and soldiers in 1862 in Minnesota."
The Dakota War: Revenge,"In the aftermath of ""Uprising"" and ""The Assault on Fort Ridgely"", Colonel H. H. Sibley establishes a military tribunal to place the captured Dakota on trial for their actions. Lead by Lieutenant Olin and appointed commissioners, the US Army seeks revenge, but at what cost?"
The Ecstasy of Gold: The Treasure of Jesse James,"Colt Turner returns home eager to embrace his beloved partner Annie. His homecoming is met with a tense atmosphere, as Colt holds valuable information about the location of a legendary load of gold: the treasure of the famous Jesse James."
